2022-03-19 11:43:06,711 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 11:43:06,711 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 11:43:07,070 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 11:43:07,086 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 11:43:07,492 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 11:43:07,492 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 11:43:07,868 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 11:43:07,868 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 11:43:08,243 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 11:44:37,497 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 11:44:37,914 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 11:44:37,914 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 11:44:38,258 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 11:44:38,258 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 11:44:38,617 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 11:44:38,617 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 11:44:38,961 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 11:44:38,993 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 11:44:39,336 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 11:44:39,352 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 11:44:39,697 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 11:44:39,712 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 11:44:40,057 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 11:44:40,072 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 11:44:40,432 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 11:44:40,432 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 11:44:40,854 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 11:44:40,854 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 11:44:41,229 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 11:44:41,229 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 11:44:41,714 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 11:44:41,714 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 11:44:42,058 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 11:44:42,074 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 11:44:42,414 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 11:44:42,414 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 11:44:42,759 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 11:44:42,774 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 11:44:43,118 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 11:44:43,118 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 11:44:43,462 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 11:44:43,462 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 11:44:43,806 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 11:44:43,806 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 11:44:44,149 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 11:44:44,165 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 11:44:44,494 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 11:44:44,509 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 11:44:44,854 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 11:49:57,416 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 11:50:17,903 | DEBUG | handlers.py:71 (start) | ipakeev (541400993): /start
2022-03-19 11:54:10,853 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 12:04:44,177 | INFO | app.py:19 (connect) | connecting to the app
2022-03-19 12:04:44,567 | INFO | app.py:24 (disconnect) | disconnecting from the app
2022-03-19 12:04:44,583 | INFO | app.py:19 (connect) | connecting to the app
